occurrence_no,collection_no,accepted_name,early_interval,late_interval,max_ma,min_ma,lng,lat,time_bins
748401,80033,Plicatula gibbosa,Early Pleistocene,,2.58,0.774,281.402779,34.168056,Calabrian
748404,80036,Glycymeris americana,Late Pliocene,,3.6,2.58,283.365555,37.063057,Pliocene
748431,80036,Mulinia lateralis,Late Pliocene,,3.6,2.58,283.365555,37.063057,Pliocene
748449,80033,Crassostrea virginica,Early Pleistocene,,2.58,0.774,281.402779,34.168056,Calabrian
748462,80033,Glycymeris americana,Early Pleistocene,,2.58,0.774,281.402779,34.168056,Calabrian
748495,80033,Abra aequalis,Early Pleistocene,,2.58,0.774,281.402779,34.168056,Calabrian
748505,80033,Plicatula gibbosa,Early Pleistocene,,2.58,0.774,281.402779,34.168056,Calabrian
748509,80033,Nucula (Nucula) proxima,Early Pleistocene,,2.58,0.774,281.402779,34.168056,Calabrian
748525,80033,Mulinia lateralis,Early Pleistocene,,2.58,0.774,281.402779,34.168056,Calabrian
748568,80035,Chione cancellata,Early Pleistocene,,2.58,0.774,281.79528,34.325832,Calabrian
748570,80035,Anomia simplex,Early Pleistocene,,2.58,0.774,281.79528,34.325832,Calabrian
748578,80035,Glycymeris americana,Early Pleistocene,,2.58,0.774,281.79528,34.325832,Calabrian
748581,80035,Plicatula gibbosa,Early Pleistocene,,2.58,0.774,281.79528,34.325832,Calabrian
748582,80035,Crassostrea virginica,Early Pleistocene,,2.58,0.774,281.79528,34.325832,Calabrian
748659,80035,Nucula (Nucula) proxima,Early Pleistocene,,2.58,0.774,281.79528,34.325832,Calabrian
749163,80133,Hiatella arctica,Late Pleistocene,,0.129,0.0117,286.416664,45.5,Late Pleistocene
749166,80133,Mytilus edulis,Late Pleistocene,,0.129,0.0117,286.416664,45.5,Late Pleistocene
749168,80133,Mya (Mya) truncata,Late Pleistocene,,0.129,0.0117,286.416664,45.5,Late Pleistocene
749169,80132,Ensis directus,Late Pleistocene,,0.129,0.0117,283.839722,36.81028,Late Pleistocene
749171,80132,Anadara (Larkinia) transversa,Late Pleistocene,,0.129,0.0117,283.839722,36.81028,Late Pleistocene
749173,80132,Nucula (Nucula) proxima,Late Pleistocene,,0.129,0.0117,283.839722,36.81028,Late Pleistocene
749178,80134,Hiatella arctica,Holocene,,0.0117,0,299.784168,55.449722,Holocene
749181,80134,Mya (Mya) truncata,Holocene,,0.0117,0,299.784168,55.449722,Holocene
749183,80135,Astarte montagui,Late Pleistocene,,0.129,0.0117,288.816666,45.849998,Late Pleistocene
749184,80135,Mytilus edulis,Late Pleistocene,,0.129,0.0117,288.816666,45.849998,Late Pleistocene
749185,80135,Mya (Mya) truncata,Late Pleistocene,,0.129,0.0117,288.816666,45.849998,Late Pleistocene
749186,80135,Hiatella arctica,Late Pleistocene,,0.129,0.0117,288.816666,45.849998,Late Pleistocene
749187,80135,Mya (Arenomya) arenaria,Late Pleistocene,,0.129,0.0117,288.816666,45.849998,Late Pleistocene
750693,80307,Crassostrea virginica,Early Pleistocene,,2.58,0.774,280.076668,9.270556,Calabrian
750729,80304,Nuculana acuta,Early Pleistocene,,2.58,0.774,280.099998,9.333333,Calabrian
750733,80304,Anadara (Larkinia) transversa,Early Pleistocene,,2.58,0.774,280.099998,9.333333,Calabrian
750742,80304,Crassostrea virginica,Early Pleistocene,,2.58,0.774,280.099998,9.333333,Calabrian
750766,80304,Chione cancellata,Early Pleistocene,,2.58,0.774,280.099998,9.333333,Calabrian
750771,80304,Abra aequalis,Early Pleistocene,,2.58,0.774,280.099998,9.333333,Calabrian
750999,80359,Chione cancellata,Early Pleistocene,,2.58,0.774,278.833611,26.958611,Calabrian
751007,80358,Chione cancellata,Early Pleistocene,,2.58,0.774,278.833611,26.958611,Calabrian
751009,80358,Nucula (Nucula) proxima,Early Pleistocene,,2.58,0.774,278.833611,26.958611,Calabrian
751030,80357,Nuculana acuta,Early Pleistocene,,2.58,0.774,278.833611,26.958611,Calabrian
751035,80357,Chione cancellata,Early Pleistocene,,2.58,0.774,278.833611,26.958611,Calabrian
751041,80356,Chione cancellata,Late Pleistocene,,0.129,0.0117,278.833611,26.958611,Late Pleistocene
751047,80355,Chione cancellata,Early Pleistocene,,2.58,0.774,278.833611,26.958611,Calabrian
751459,80407,Chione cancellata,Late Pleistocene,,0.129,0.0117,282.550003,18.466667,Late Pleistocene
