Species,long,lat,Time
Chione_elevata,273.5,16.38,Modern
Chione_elevata,271.6319,16.5861,Modern
Chione_elevata,282.88,26.65,Modern
Chione_elevata,284.31,35.22,Modern
Chione_elevata,281.11,33.69,Modern
Chione_elevata,271.825,17.5292,Modern
Chione_elevata,277.43,27.69,Modern
Chione_elevata,271.9444,17.9472,Modern
Chione_elevata,284.09,35.13,Modern
Chione_elevata,270.33,21.28,Modern
Chione_elevata,274.48,29.98,Modern
Chione_elevata,282.88,26.65,Modern
Chione_elevata,279.83,25.7,Modern
Chione_elevata,283.36,34.82,Modern
Chione_elevata,271.9958,17.9292,Modern
Chione_elevata,286.33,20.95,Modern
Chione_elevata,282.92,26.47,Modern
Chione_elevata,277.71,22.72,Modern
Chione_elevata,277.83,26.43,Modern
Chione_elevata,279.64,25.17,Modern
Chione_elevata,278.2,26.14,Modern
Chione_elevata,277.71,26.83,Modern
Chione_elevata,276.96,29.14,Modern
Chione_elevata,282.92,26.47,Modern
Chione_elevata,271.25,15.83,Modern
Chione_elevata,279.96,26.71,Modern
Chione_elevata,279.68,25.32,Modern
Chione_elevata,276.96,29.12,Modern
Chione_elevata,281.11,33.69,Modern
Chione_elevata,272.025,17.8514,Modern
Chione_elevata,278.88,23.18,Modern
Chione_elevata,283.83,24.98,Modern
Chione_elevata,285.1,20.33,Modern
Chione_elevata,276.96,29.12,Modern
Chione_elevata,279.55,25.09,Modern
Chione_elevata,271.9486,17.4264,Modern
Chione_elevata,273.23,21.08,Modern
Chione_elevata,278.21,24.55,Modern
Chione_elevata,284.88,23.25,Modern
Chione_elevata,283.34,34.71,Modern
Chione_elevata,281.225,26.5167,Modern
Chione_elevata,278.57,28.93,Modern
Chione_elevata,283.34,34.72,Modern
Chione_elevata,271.7181,16.8792,Modern
Chione_elevata,277.21,27.81,Modern
Chione_elevata,283.5833,24.9458,Modern
Chione_elevata,278.88,23.18,Modern
Chione_elevata,281.11,33.69,Modern
Chione_elevata,282.88,26.65,Modern
Chione_elevata,283.5833,24.95,Modern
Chione_elevata,277.89,26.44,Modern
Chione_elevata,271.8931,17.7278,Modern
Chione_elevata,271.8917,17.8528,Modern
Chione_elevata,284.33,24.63,Modern
Chione_elevata,281.1131,33.6889,Modern
Chione_elevata,277.98,26.45,Modern
Chione_elevata,280.7,25.72,Modern
Chione_elevata,274.35,30.1,Modern
Chione_elevata,278.91,24.71,Modern
Chione_elevata,279.73,26.87,Modern
Chione_elevata,278.2,26.14,Modern
Chione_elevata,279.34,24.89,Modern
Chione_elevata,271.82,17.45,Modern
Chione_elevata,271.7389,17.1042,Modern
Chione_elevata,273.2,21.5,Modern
Chione_elevata,282.88,26.65,Modern
Chione_elevata,281.4542,26.5292,Modern
Chione_elevata,278.875,24.706667,Modern
Chione_elevata,281.516111,33.873333,Modern
Chione_elevata,273.083333,20.556944,Modern
Chione_elevata,279.540833,27.818056,Modern
Chione_elevata,279.1915,24.829667,Modern
Chione_elevata,279.541111,27.809167,Modern
Chione_elevata,298.224856,17.141577,Modern
Chione_elevata,279.55,25.09,Modern
Chione_elevata,274.66,29.8,Modern
Chione_elevata,281.225,26.5167,Modern
Chione_elevata,272.0306,18.0444,Modern
Chione_elevata,273.14,30.38,Modern
Chione_elevata,281.4,26.5125,Modern
Chione_elevata,278.56,26.76,Modern
Chione_elevata,283.8458,24.625,Modern
Chione_elevata,283.48,20.35,Modern
Chione_elevata,276.57,22.47,Modern
Chione_elevata,278.56,28.94,Modern
Chione_elevata,279.94,26.62,Modern
Chione_elevata,281.3417,26.5083,Modern
Chione_elevata,278.33,25.83,Modern
Chione_elevata,279.84,25.69,Modern
Chione_elevata,277.31,28.88,Modern
Chione_elevata,276.96,29.12,Modern
Chione_elevata,283.5833,24.9458,Modern
Chione_elevata,277.18,27.97,Modern
Chione_elevata,277.89,26.44,Modern
Chione_elevata,284.08,24.58,Modern
Chione_elevata,282.72,25.03,Modern
Chione_elevata,280.7,25.72,Modern
Chione_elevata,283.77,25.17,Modern
Chione_elevata,271.7917,17.7264,Modern
Chione_elevata,281.11,33.69,Modern
